 1638 49 612  #UTIL: 10149
 1638 46  #UTIL: 126
 1638 1254  #UTIL: 87
 1638 459  #UTIL: 413
 1638 459 1177  #UTIL: 3480
 1638 1823  #UTIL: 86
 1638 1177  #UTIL: 3348
 1638 1463  #UTIL: 483
 1638 1463 1623  #UTIL: 1215
 1638 1463 924  #UTIL: 486
 1638 1623  #UTIL: 740
 1638 1635  #UTIL: 146
 1638 1635 1579  #UTIL: 625
 1638 1635 1579 1141  #UTIL: 2375
 1638 1635 1141  #UTIL: 1789
 1638 1635 2133  #UTIL: 103
 1638 518  #UTIL: 589
 1638 179  #UTIL: 201
 1638 179 1164  #UTIL: 377
 1638 440  #UTIL: 161
 1638 440 2228  #UTIL: 279
 1638 440 2513  #UTIL: 248
 1638 1559  #UTIL: 1162
 1638 109  #UTIL: 80
 1638 109 1579  #UTIL: 666
 1638 109 1579 1141  #UTIL: 2416
 1638 109 1141  #UTIL: 1830
 1638 109 2133  #UTIL: 144
 1638 1415  #UTIL: 369
 1638 1696  #UTIL: 56
 1638 1419  #UTIL: 705
 1638 45  #UTIL: 414
 1638 433  #UTIL: 10421
 1638 2495  #UTIL: 102
 1638 2495 1781  #UTIL: 69
 1638 408  #UTIL: 1236
 1638 408 813  #UTIL: 1249
 1638 1173  #UTIL: 2133
 1638 1745  #UTIL: 307
 1638 139  #UTIL: 570
 1638 139 57  #UTIL: 952
 1638 1754  #UTIL: 86
 1638 57  #UTIL: 412
 1638 1437  #UTIL: 330
 1638 1437 796  #UTIL: 371
 1638 2011  #UTIL: 102
 1638 2011 153  #UTIL: 356
 1638 153  #UTIL: 1367
 1638 153 377  #UTIL: 2678
 1638 1164  #UTIL: 184
 1638 1783  #UTIL: 199
 1638 653  #UTIL: 162
 1638 1046  #UTIL: 192
 1638 1579  #UTIL: 755
 1638 1579 1141  #UTIL: 2344
 1638 1141  #UTIL: 1758
 1638 1421  #UTIL: 1261
 1638 491  #UTIL: 429
 1638 352  #UTIL: 635
 1638 711  #UTIL: 118
 1638 1553  #UTIL: 442
 1638 2042  #UTIL: 334
 1638 1564  #UTIL: 614
 1638 1661  #UTIL: 83
 1638 1661 1448  #UTIL: 990
 1638 1661 1448 1310  #UTIL: 1086
 1638 1661 1310  #UTIL: 118
 1638 2133  #UTIL: 72
 1638 1447  #UTIL: 170
 1638 1447 1442  #UTIL: 1585
 1638 1447 517  #UTIL: 2908
 1638 1459  #UTIL: 991
 1638 1459 499  #UTIL: 1040
 1638 2490  #UTIL: 30
 1638 2490 1777  #UTIL: 135
 1638 2490 1777 861  #UTIL: 184
 1638 2490 861  #UTIL: 79
 1638 2228  #UTIL: 171
 1638 647  #UTIL: 166
 1638 2072  #UTIL: 123
 1638 1819  #UTIL: 62
 1638 952  #UTIL: 214
 1638 377  #UTIL: 1663
 1638 1442  #UTIL: 1423
 1638 1448  #UTIL: 976
 1638 1448 1310  #UTIL: 1072
 1638 1781  #UTIL: 59
 1638 517  #UTIL: 2746
 1638 1310  #UTIL: 104
 1638 399  #UTIL: 1369
 1638 2513  #UTIL: 140
 1638 1777  #UTIL: 113
 1638 1777 861  #UTIL: 162
 1638 2393  #UTIL: 462
 1638 499  #UTIL: 72
 1638 612  #UTIL: 16733
 1638 1152  #UTIL: 677
 1638 611  #UTIL: 4634
 1638 465  #UTIL: 333
 1638 796  #UTIL: 49
 1638 861  #UTIL: 57
 1634  #UTIL: 932
 1634 2392  #UTIL: 702
 1634 1807  #UTIL: 337
 1634 1807 126  #UTIL: 678
 1634 1641  #UTIL: 36
 1634 1660  #UTIL: 422
 1634 1581  #UTIL: 175
 1634 64  #UTIL: 322
 1634 1642  #UTIL: 130
 1634 1458  #UTIL: 142
 1634 1590  #UTIL: 39
 1634 411  #UTIL: 2275
 1634 411 418  #UTIL: 2407
 1634 411 1924  #UTIL: 2569
 1634 411 225  #UTIL: 3785
 1634 1614  #UTIL: 1570
 1634 1455  #UTIL: 475
 1634 1455 464  #UTIL: 3199
 1634 2104  #UTIL: 394
 1634 2112  #UTIL: 2165
 1634 418  #UTIL: 142
 1634 424  #UTIL: 1097
 1634 424 60  #UTIL: 555
 1634 1558  #UTIL: 513
 1634 1558 2512  #UTIL: 687
 1634 1687  #UTIL: 33
 1634 1687 126  #UTIL: 525
 1634 434  #UTIL: 2633
 1634 434 55  #UTIL: 2502
 1634 434 2159  #UTIL: 2707
 1634 434 1553  #UTIL: 763
 1634 1587 388  #UTIL: 390
 1634 448  #UTIL: 696
 1634 55  #UTIL: 237
 1634 2094  #UTIL: 534
 1634 1698 1924  #UTIL: 307
 1634 1698 225  #UTIL: 1523
 1634 84  #UTIL: 113
 1634 84 105  #UTIL: 237
 1634 84 105 388  #UTIL: 612
 1634 84 388  #UTIL: 488
 1634 123  #UTIL: 1366
 1634 123 60  #UTIL: 1519
 1634 1274  #UTIL: 235
 1634 419  #UTIL: 568
 1634 136  #UTIL: 218
 1634 136 1422  #UTIL: 868
 1634 136 610  #UTIL: 271
 1634 429  #UTIL: 653
 1634 126  #UTIL: 521
 1634 100  #UTIL: 199
 1634 62  #UTIL: 797
 1634 1361  #UTIL: 82
 1634 1361 2509  #UTIL: 96
 1634 1699  #UTIL: 65
 1634 1699 61  #UTIL: 318
 1634 1699 754  #UTIL: 84
 1634 157  #UTIL: 1792
 1634 157 1839  #UTIL: 8666
 1634 1598  #UTIL: 193
 1634 2266  #UTIL: 299
